gene_id,mammalian_matches,barcode_matches
BC_958,human,BC_995
BC_247,,BC_990
BC_779,,BC_990
BC_685,,BC_976
BC_485,,BC_971
BC_201,,BC_970
BC_769,,BC_965
BC_837,,BC_951
BC_799,,BC_948
BC_091,,BC_942
BC_947,,BC_922
BC_497,,BC_909
BC_401,,BC_885
BC_212,,BC_861
BC_375,human,BC_860
BC_703,,BC_827
BC_583,,BC_804
BC_723,,BC_779
BC_965,,BC_769
BC_180,,BC_768
BC_528,,BC_768
BC_955,,BC_748
BC_086,,BC_734
BC_256,,BC_733
BC_200,,BC_722
BC_100,,BC_701
BC_518,human,BC_689
BC_535,,BC_689
BC_976,,BC_685
BC_193,,BC_676
BC_065,,BC_619
BC_530,,BC_619
BC_620,,BC_561
BC_469,,BC_545
BC_619,,BC_530
BC_689,mouse,"BC_518,BC_535"
BC_909,,BC_497
BC_534,,BC_481
BC_545,,BC_469
BC_038,,BC_451
BC_301,,BC_404
BC_265,,BC_400
BC_300,,BC_372
BC_173,,BC_369
BC_855,,BC_340
BC_793,,BC_334
BC_243,mouse,BC_325
BC_695,mouse,BC_321
BC_404,,BC_301
BC_372,,BC_300
BC_607,,BC_296
BC_305,,BC_295
BC_219,,BC_268
BC_187,,BC_261
BC_733,,BC_256
BC_157,,BC_252
BC_990,,"BC_247,BC_779"
BC_325,,BC_243
BC_836,,BC_240
BC_042,,BC_229
BC_029,,BC_221
BC_861,,BC_212
BC_605,,BC_208
BC_722,,BC_200
BC_676,,BC_193
BC_261,,BC_187
BC_725,,BC_175
BC_252,,BC_157
BC_268,mouse,BC_149
BC_701,,BC_100
BC_734,,BC_086
BC_608,,BC_041
BC_464,,BC_033
BC_221,,BC_029
BC_467,,BC_023
BC_267,"mouse,human",
BC_294,"mouse,human",
BC_343,"mouse,human",
BC_637,"mouse,human",
BC_816,"mouse,human",
BC_849,"mouse,human",
BC_011,mouse,
BC_018,mouse,
BC_089,mouse,
BC_108,mouse,
BC_171,mouse,
BC_248,mouse,
BC_249,mouse,
BC_254,mouse,
BC_333,mouse,
BC_361,mouse,
BC_378,mouse,
BC_410,mouse,
BC_429,mouse,
BC_456,mouse,
BC_465,mouse,
BC_471,mouse,
BC_537,mouse,
BC_589,mouse,
BC_612,mouse,
BC_634,mouse,
BC_656,mouse,
BC_672,mouse,
BC_681,mouse,
BC_737,mouse,
BC_765,mouse,
BC_781,mouse,
BC_784,mouse,
BC_794,mouse,
BC_807,mouse,
BC_851,mouse,
BC_877,mouse,
BC_963,mouse,
BC_987,mouse,
BC_023,human,
BC_037,human,
BC_048,human,
BC_062,human,
BC_080,human,
BC_098,human,
BC_099,human,
BC_128,human,
BC_155,human,
BC_234,human,
BC_245,human,
BC_251,human,
BC_264,human,
BC_272,human,
BC_276,human,
BC_279,human,
BC_282,human,
BC_337,human,
BC_360,human,
BC_366,human,
BC_373,human,
BC_393,human,
BC_394,human,
BC_408,human,
BC_423,human,
BC_425,human,
BC_444,human,
BC_468,human,
BC_482,human,
BC_509,human,
BC_513,human,
BC_516,human,
BC_517,human,
BC_567,human,
BC_580,human,
BC_581,human,
BC_598,human,
BC_645,human,
BC_653,human,
BC_693,human,
BC_732,human,
BC_809,human,
BC_810,human,
BC_828,human,
BC_839,human,
BC_844,human,
BC_862,human,
BC_869,human,
BC_880,human,
BC_910,human,
BC_912,human,
BC_928,human,
BC_984,human,
BC_001,,
BC_002,,
BC_003,,
BC_004,,
BC_005,,
BC_006,,
BC_007,,
BC_008,,
BC_009,,
BC_010,,
BC_012,,
BC_013,,
BC_014,,
BC_015,,
BC_016,,
BC_017,,
BC_019,,
BC_020,,
BC_021,,
BC_022,,
BC_024,,
BC_025,,
BC_026,,
BC_027,,
BC_028,,
BC_030,,
BC_031,,
BC_032,,
BC_033,,
BC_034,,
BC_035,,
BC_036,,
BC_039,,
BC_040,,
BC_041,,
BC_043,,
BC_044,,
BC_045,,
BC_046,,
BC_047,,
BC_049,,
BC_050,,
BC_051,,
BC_052,,
BC_053,,
BC_054,,
BC_055,,
BC_056,,
BC_057,,
BC_058,,
BC_059,,
BC_060,,
BC_061,,
BC_063,,
BC_064,,
BC_066,,
BC_067,,
BC_068,,
BC_069,,
BC_070,,
BC_071,,
BC_072,,
BC_073,,
BC_074,,
BC_075,,
BC_076,,
BC_077,,
BC_078,,
BC_079,,
BC_081,,
BC_082,,
BC_083,,
BC_084,,
BC_085,,
BC_087,,
BC_088,,
BC_090,,
BC_092,,
BC_093,,
BC_094,,
BC_095,,
BC_096,,
BC_097,,
BC_101,,
BC_102,,
BC_103,,
BC_104,,
BC_105,,
BC_106,,
BC_107,,
BC_109,,
BC_110,,
BC_111,,
BC_112,,
BC_113,,
BC_114,,
BC_115,,
BC_116,,
BC_117,,
BC_118,,
BC_119,,
BC_120,,
BC_121,,
BC_122,,
BC_123,,
BC_124,,
BC_125,,
BC_126,,
BC_127,,
BC_129,,
BC_130,,
BC_131,,
BC_132,,
BC_133,,
BC_134,,
BC_135,,
BC_136,,
BC_137,,
BC_138,,
BC_139,,
BC_140,,
BC_141,,
BC_142,,
BC_143,,
BC_144,,
BC_145,,
BC_146,,
BC_147,,
BC_148,,
BC_149,,
BC_150,,
BC_151,,
BC_152,,
BC_153,,
BC_154,,
BC_156,,
BC_158,,
BC_159,,
BC_160,,
BC_161,,
BC_162,,
BC_163,,
BC_164,,
BC_165,,
BC_166,,
BC_167,,
BC_168,,
BC_169,,
BC_170,,
BC_172,,
BC_174,,
BC_175,,
BC_176,,
BC_177,,
BC_178,,
BC_179,,
BC_181,,
BC_182,,
BC_183,,
BC_184,,
BC_185,,
BC_186,,
BC_188,,
BC_189,,
BC_190,,
BC_191,,
BC_192,,
BC_194,,
BC_195,,
BC_196,,
BC_197,,
BC_198,,
BC_199,,
BC_202,,
BC_203,,
BC_204,,
BC_205,,
BC_206,,
BC_207,,
BC_208,,
BC_209,,
BC_210,,
BC_211,,
BC_213,,
BC_214,,
BC_215,,
BC_216,,
BC_217,,
BC_218,,
BC_220,,
BC_222,,
BC_223,,
BC_224,,
