object_id,FIRST_PASS_CONTAINS_BARCODES,First pass notes,SECOND_PASS_CONTAINS_NO_EXTRA_BARCODES,second pass notes,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
29613,POSSIBLE,No 16,FALSE,,315,bc_024-bc_040-bc_092,"['bc_001', 'bc_009', 'bc_024', 'bc_031', 'bc_040', 'bc_048', 'bc_066', 'bc_092', 'bc_093']",0,7,0,10,4,21,3
29715,TRUE,,FALSE,,1987,bc_004-bc_009-bc_010-bc_040-bc_041-bc_092,"['bc_004', 'bc_009', 'bc_010', 'bc_040', 'bc_041', 'bc_052', 'bc_066', 'bc_092']",1,8,3,4,1,17,5
30006,TRUE,,TRUE,,2630,bc_009-bc_092-bc_093,"['bc_009', 'bc_092', 'bc_093']",0,1,0,6,5,12,3
30026,TRUE,,FALSE,,676,bc_016-bc_040-bc_041-bc_076-bc_092,"['bc_009', 'bc_040', 'bc_041', 'bc_052', 'bc_076', 'bc_092', 'bc_093']",2,23,3,27,3,58,5
30288,FALSE,"SEEMS LIKE 40, 92",FALSE,,541,bc_006-bc_009-bc_092-bc_093,"['bc_009', 'bc_010', 'bc_040', 'bc_066', 'bc_092', 'bc_093']",0,3,0,5,5,13,3
30446,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",8,19,14,22,8,71,5
30510,TRUE,,FALSE,,1865,bc_040-bc_066-bc_087-bc_093,"['bc_010', 'bc_040', 'bc_041', 'bc_066', 'bc_087', 'bc_092', 'bc_093']",2,10,1,3,7,23,5
30556,POSSIBLE,NO 93,FALSE,,1642,bc_009-bc_040-bc_052-bc_092,"['bc_009', 'bc_040', 'bc_052', 'bc_092']",2,4,7,5,0,18,4
30561,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",7,23,23,30,31,114,5
30575,TRUE,,TRUE,,132,bc_040-bc_092,"['bc_040', 'bc_052', 'bc_092', 'bc_094']",2,15,7,14,2,40,5
30807,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",6,23,25,15,23,92,5
30823,TRUE,,TRUE,POSSIBLE EXTRA?,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",3,16,14,10,20,63,5
30864,FALSE,NEIGHBORING CELL,FALSE,,41,bc_040-bc_048-bc_060-bc_093,"['bc_006', 'bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",0,6,6,4,4,20,4
30867,FALSE,"SEEMS LIKE 40, 92",TRUE,MINIMAL CONTAMINATION,132,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_052', 'bc_067', 'bc_092']",5,12,5,14,0,36,4
30939,FALSE,NEIGHBORING CELL,FALSE,,41,bc_040-bc_048-bc_060-bc_093,"['bc_010', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_066', 'bc_093']",1,5,6,0,5,17,4
30980,TRUE,,TRUE,,1642,bc_009-bc_040-bc_052-bc_092,"['bc_006', 'bc_040', 'bc_048', 'bc_052', 'bc_066', 'bc_092', 'bc_093']",2,10,25,12,6,55,5
31023,FALSE,"SEEMS LIKE 40, 92",FALSE,EXTRA BARCODE,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_092']",1,6,3,8,2,20,5
31076,TRUE,,TRUE,POSSIBLE EXTRA?,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_031', 'bc_040', 'bc_048', 'bc_052', 'bc_066', 'bc_087', 'bc_092', 'bc_093']",2,14,12,12,8,48,5
31084,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",4,16,13,20,12,65,5
31216,POSSIBLE,LOW EXPRESSION,FALSE,,541,bc_006-bc_009-bc_092-bc_093,"['bc_009', 'bc_092', 'bc_093']",2,2,1,6,5,16,5
31345,POSSIBLE,LOW EXPRESSION,FALSE,,1443,bc_006-bc_010-bc_066,"['bc_006', 'bc_010', 'bc_031', 'bc_040', 'bc_052', 'bc_066']",0,11,8,1,1,21,4
31407,TRUE,,FALSE,,1689,bc_006-bc_010-bc_024-bc_040-bc_052-bc_066-bc_093,"['bc_006', 'bc_010', 'bc_024', 'bc_040', 'bc_052', 'bc_066', 'bc_093']",1,5,8,1,9,24,5
31410,POSSIBLE,LOW EXPRESSION,FALSE,,1443,bc_006-bc_010-bc_066,"['bc_006', 'bc_010', 'bc_040', 'bc_066', 'bc_085', 'bc_093']",1,9,2,0,5,17,4
31412,TRUE,,TRUE,,132,bc_040-bc_092,"['bc_004', 'bc_031', 'bc_040', 'bc_041', 'bc_052', 'bc_087', 'bc_092', 'bc_093']",1,30,6,19,6,62,5
31468,POSSIBLE,NEIGHBOR?,FALSE,,541,bc_006-bc_009-bc_092-bc_093,"['bc_006', 'bc_009', 'bc_040', 'bc_052', 'bc_092']",1,4,5,5,1,16,5
31469,POSSIBLE,LOW EXPRESSION,FALSE,,132,bc_040-bc_092,"['bc_031', 'bc_040', 'bc_052', 'bc_066', 'bc_092']",0,15,7,10,0,32,3
31476,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",8,25,20,8,27,88,5
31515,TRUE,,FALSE,EXTRA BARCODE,1220,bc_006-bc_040-bc_052-bc_093,"['bc_006', 'bc_010', 'bc_040', 'bc_052', 'bc_093']",0,7,5,1,11,24,4
31517,POSSIBLE,LOW EXPRESSION,FALSE,,1689,bc_006-bc_010-bc_024-bc_040-bc_052-bc_066-bc_093,"['bc_006', 'bc_010', 'bc_024', 'bc_040', 'bc_052', 'bc_066']",0,7,5,1,0,13,3
31595,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2,23,9,23,17,74,5
31632,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",1,3,16,11,14,45,5
31648,TRUE,POSSIBLE NEIGHBOR,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_052', 'bc_092', 'bc_093']",0,1,5,4,6,16,4
31665,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",11,39,33,42,60,185,5
31715,FALSE,NO 93,FALSE,EXTRA BARCODE,194,bc_040-bc_052-bc_093,"['bc_009', 'bc_016', 'bc_040']",3,5,2,1,0,11,4
31749,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",5,23,26,6,22,82,5
31794,POSSIBLE,NO 16,FALSE,,41,bc_040-bc_048-bc_060-bc_093,"['bc_001', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_093']",0,7,7,2,4,20,4
31809,POSSIBLE,LOW 16,TRUE,POSSIBLE EXTRA BARCODE,601,bc_009-bc_040,"['bc_009', 'bc_024', 'bc_040', 'bc_092', 'bc_093']",1,20,1,8,5,35,5
31816,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0,8,8,17,13,46,4
31820,FALSE,OUT OF IMAGE,FALSE,OUT OF IMAGE,1642,bc_009-bc_040-bc_052-bc_092,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_092']",1,5,6,3,0,15,4
31857,POSSIBLE,NO 92,FALSE,,1379,bc_009-bc_024-bc_040-bc_052-bc_093,"['bc_009', 'bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_093']",7,11,20,0,21,59,4
31874,FALSE,NEIGHBORING CELL,FALSE,,347,bc_007-bc_024-bc_060-bc_077-bc_092,"['bc_007', 'bc_024', 'bc_060', 'bc_077', 'bc_092', 'bc_093']",0,2,1,22,5,30,4
31884,FALSE,NEIGHBORING CELL,FALSE,,648,bc_009,"['bc_009', 'bc_052', 'bc_092']",2,1,5,3,1,12,5
31964,POSSIBLE,LOW 16,FALSE,,360,bc_024,"['bc_024', 'bc_040', 'bc_092', 'bc_093']",1,11,2,6,10,30,5
32117,POSSIBLE,NO 16,FALSE,,681,bc_010-bc_024-bc_066,"['bc_006', 'bc_009', 'bc_010', 'bc_024', 'bc_040', 'bc_048', 'bc_066', 'bc_092', 'bc_093']",0,4,1,3,3,11,4
32133,FALSE,NEIGHBORING CELL,FALSE,,601,bc_009-bc_040,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_060']",1,13,5,1,2,22,5
32168,POSSIBLE,NEIGHBOR?,FALSE,,648,bc_009,"['bc_009', 'bc_016', 'bc_040', 'bc_092', 'bc_093']",5,8,0,3,6,22,4
32180,POSSIBLE,LOW 16,FALSE,LIKELY EXTRA BARCODE,194,bc_040-bc_052-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0,19,7,5,5,36,4
32202,POSSIBLE,NEIGHBOR?,FALSE,,648,bc_009,"['bc_009', 'bc_040', 'bc_052', 'bc_092']",1,6,4,5,2,18,5
32209,TRUE,,TRUE,,1642,bc_009-bc_040-bc_052-bc_092,"['bc_009', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0,5,12,6,5,28,4
32251,FALSE,,FALSE,,261,bc_009-bc_024-bc_092,"['bc_009', 'bc_024', 'bc_040', 'bc_092']",0,4,1,9,0,14,3
32287,FALSE,NEIGHBORING CELL,FALSE,,324,bc_048-bc_060,"['bc_001', 'bc_024', 'bc_048', 'bc_052', 'bc_060', 'bc_087', 'bc_093']",0,2,7,0,3,12,3
32289,TRUE,,FALSE,LIKELY EXTRA BARCODE,2642,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",1,8,4,5,11,29,5
32299,FALSE,"SEEMS LIKE 40, 92",FALSE,LIKELY EXTRA BARCODE,132,bc_040-bc_092,"['bc_024', 'bc_031', 'bc_040', 'bc_048', 'bc_092', 'bc_093']",1,30,2,20,4,57,5
32300,TRUE,,TRUE,"POSSIBLE EXTRA, BUT NEIGHBOR",31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3,28,14,19,12,76,5
32303,FALSE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_040', 'bc_052', 'bc_092']",0,11,4,12,0,27,3
32333,FALSE,NEIGHBORING CELL,FALSE,,324,bc_048-bc_060,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",1,4,8,4,2,19,5
32342,POSSIBLE,NO 52,TRUE,NEIGHBOR SPILL OVER,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_048', 'bc_092', 'bc_093']",4,14,0,12,12,42,4
32368,FALSE,"SEEMS LIKE 40, 92",FALSE,,324,bc_048-bc_060,"['bc_040', 'bc_048', 'bc_060', 'bc_092']",2,4,2,12,0,20,4
32399,POSSIBLE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_040', 'bc_092']",1,4,0,7,1,13,4
32413,POSSIBLE,LOW 92,FALSE,,2642,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_093']",0,5,4,0,4,13,3
32439,POSSIBLE,LOW 92,FALSE,,2642,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_093']",6,11,14,2,11,44,5
32452,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_006', 'bc_016', 'bc_040', 'bc_092', 'bc_093']",3,6,2,13,8,32,5
32493,FALSE,"SEEMS LIKE 40, 92 + NEIGHBOR",TRUE,,194,bc_040-bc_052-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",6,23,8,9,4,50,5
32523,POSSIBLE,LIKELY NEIGHBOR,FALSE,,648,bc_009,"['bc_009', 'bc_040', 'bc_092', 'bc_093']",0,6,1,3,4,14,4
32534,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",2,11,4,6,4,27,5
32536,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_006', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3,24,22,23,26,98,5
32570,FALSE,"SEEMS LIKE 40, 92",TRUE,,676,bc_016-bc_040-bc_041-bc_076-bc_092,"['bc_004', 'bc_016', 'bc_040', 'bc_041', 'bc_092']",6,12,0,9,1,28,4
32578,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",8,31,35,29,29,132,5
32682,FALSE,,FALSE,,324,bc_048-bc_060,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",0,5,3,5,0,13,3
32712,FALSE,NEIGHBOR,FALSE,,304,bc_024-bc_039-bc_040-bc_052-bc_093,"['bc_016', 'bc_039', 'bc_040', 'bc_052', 'bc_093']",4,5,7,0,6,22,4
32762,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",4,24,26,3,21,78,5
32794,TRUE,,FALSE,,41,bc_040-bc_048-bc_060-bc_093,"['bc_009', 'bc_010', 'bc_016', 'bc_040', 'bc_041', 'bc_048', 'bc_060', 'bc_077', 'bc_093']",3,5,2,1,5,16,5
32803,FALSE,"SEEMS LIKE 40, 92",FALSE,,2714,bc_004-bc_040-bc_087-bc_092,"['bc_004', 'bc_040', 'bc_087', 'bc_092', 'bc_093']",0,12,0,12,3,27,3
32806,POSSIBLE,LOW 92,FALSE,EXTRA BARCODE,194,bc_040-bc_052-bc_093,"['bc_016', 'bc_040', 'bc_052']",4,14,10,0,1,29,4
32846,FALSE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",9,34,4,27,1,75,5
32852,POSSIBLE,NO 92,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_093']",4,12,13,0,10,39,4
32853,FALSE,,FALSE,,315,bc_024-bc_040-bc_092,"['bc_024', 'bc_040', 'bc_092']",0,14,0,7,1,22,3
32864,FALSE,NEIGHBOR,FALSE,,2848,bc_004-bc_024-bc_040-bc_041-bc_052-bc_093,"['bc_004', 'bc_024', 'bc_040', 'bc_041', 'bc_052', 'bc_093']",1,6,11,0,9,27,4
32873,FALSE,NEIGHBOR,FALSE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_092', 'bc_093']",0,3,2,3,3,11,4
32881,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_093']",2,19,9,0,18,48,4
32960,POSSIBLE,LOW 16,FALSE,EXTRA BARCODE,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0,6,5,5,9,25,4
32989,FALSE,neighbor,FALSE,,648,bc_009,"['bc_009', 'bc_052', 'bc_092', 'bc_093']",2,1,5,4,4,16,5
33059,TRUE,,FALSE,,1379,bc_009-bc_024-bc_040-bc_052-bc_093,"['bc_009', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",1,8,12,5,11,37,5
33102,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3,18,16,15,16,68,5
33134,FALSE,low 16,FALSE,,1379,bc_009-bc_024-bc_040-bc_052-bc_093,"['bc_009', 'bc_052', 'bc_093']",0,1,6,1,4,12,4
33204,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",2,19,18,16,28,83,5
33206,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2,8,10,10,10,40,5
33239,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_041', 'bc_052', 'bc_093']",4,32,42,1,34,113,5
33256,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",6,19,17,16,28,86,5
33345,FALSE,NEIGHBOR,FALSE,,919,bc_004-bc_041-bc_048-bc_060,"['bc_004', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_077', 'bc_093']",2,1,5,0,4,12,4
33383,FALSE,NEIGHBOR,FALSE,,1594,bc_004-bc_040-bc_041-bc_048-bc_093,"['bc_004', 'bc_040', 'bc_041', 'bc_048']",0,9,2,1,1,13,4
