,Entropy,Normalized_Entropy
AKT1,4.632635229815408,0.9512620802347307
AXL,4.633512857313085,0.9553853814922193
BGN,4.634086772082913,0.9580817686250143
BIRC3,4.6136840440588545,0.8622249337600201
BIRC5,4.6326315272721805,0.9512446848122006
BMP2,4.628802071450966,0.9332529969435949
BMP4,4.6335153318178115,0.9553970072998396
CALD1,4.639138525137559,0.9818160975719534
CAPG,4.627093736982758,0.9252268381465878
CCNA2,4.635462158546723,0.9645436590634642
CCND1,4.64067393336145,0.9890298080323535
CD36,4.634836200230804,0.9616027590597679
CDK1,4.624872258531101,0.9147898077237206
CDKN1A,4.634003974509355,0.9576927660697464
CDKN1B,4.639664968904536,0.9842894547219037
COL1A1,4.62843078823882,0.9315086207252329
COL5A2,4.6318073445325965,0.9473724796505316
COL9A3,4.642589147684497,0.9980279372471763
CTNNB1,4.640469164340176,0.9880677548091468
DCN,4.607107018253996,0.8313245132017629
DKK3,4.620221308297998,0.8929385450918704
EGFR,4.6292000662827775,0.9351228706597495
ENSMUSG00000071361,4.545181957979547,0.5403859549004866
ERBB3,4.6388420150965555,0.980423023371151
ESPN,4.6320434494349945,0.9484817562439996
FGF1,4.628705771678283,0.9328005578679601
FGFR1,4.637913020203699,0.976058385959432
FN1,4.64300889302711,1.0
FOS,4.639721569586176,0.9845553780918981
FOSB,4.631819057541277,0.9474275101316278
FOSL1,4.640165235962987,0.9866398275129222
FOSL2,4.637827917882063,0.9756585551533719
FOXF2,4.6242829073995395,0.9120208969178226
GFP,4.636268921180609,0.9683340204543783
GPX8,4.638756551380811,0.9800214946502174
GTSE1,4.634231111637392,0.9587599099413078
HIF1A,4.635947666789873,0.9668246914545421
HK2,4.641178394755127,0.9913998868008629
IFIT2,4.593223336027565,0.766095695127645
IGFBP7,4.636395016878172,0.9689264478221398
IRX3,4.638849158436313,0.9804565844684098
ITGA3,4.637070680343878,0.9721008743586347
ITGA5,4.630942368019763,0.9433086157076813
ITGA6,4.634893492555915,0.9618719319341353
ITGA8,4.594919989337221,0.7740669730829787
ITGAV,4.635828206305851,0.9662634378870629
JUN,4.637744827094391,0.9752681750089451
KIT,4.615342086143397,0.870014807060778
KLF4,4.631772707105111,0.9472097448357218
L1CAM,4.642008809743507,0.9953013725392714
LMOD1,4.624536281529245,0.9132113084197366
LOXL2,4.62974773211949,0.9376959341054362
MAPK14,4.637082610359233,0.9721569243883408
MEF2C,4.640259706652235,0.9870836731225964
MERTK,4.638214404072452,0.9774743585540716
MET,4.636710596044044,0.9704091132752191
MITF,4.63606840958108,0.9673919696040244
MKI67,4.624626641758636,0.9136358421182121
MLANA,4.6325920415052755,0.951059171353742
MMP1,4.430163058373858,0.0
MMP11,4.617861684222841,0.8818524739032978
MT-RNR2,4.641991448693711,0.9952198062270893
MYBL2,4.632814030224446,0.9521021267845211
MYC,4.639782741060635,0.9848427761260613
MYLK,4.619219871161948,0.8882335569126041
MYOCD,4.621467416142177,0.8987930540429572
NANOG,4.608892122203061,0.8397113531508436
NCAM1,4.638032144364963,0.9766180594031585
NFATC2,4.631450948392731,0.9456980464136941
NFE2L2,4.637248548143638,0.9729365392897792
NGFR,4.617003234138196,0.8778192726614564
NOTCH3,4.628470347465934,0.9316944793171051
NOTCH4,4.619305363535151,0.8886352202730465
NRG1,4.6295117716657845,0.936587336166039
NT5E,4.634829477929301,0.9615711760996692
OASL,4.600643964004776,0.8009595579290961
PDGFA,4.633984829147729,0.9576028166391785
PDGFC,4.632481382571932,0.9505392695500539
PDGFRB,4.635824246923482,0.9662448357735891
PKDCC,4.635276977884201,0.9636736365759527
PRKCA,4.640227606904392,0.9869328609260825
PRRX1,4.6325245004768325,0.9507418476506354
RGS2,4.636233095339773,0.9681657021929732
RIGI,4.618046918908142,0.8827227502025887
ROR1,4.629877511726767,0.9383056693510811
ROR2,4.606005732594205,0.8261504130762689
RUNX2,4.640670195381432,0.989012246119413
SCG2,4.633868182202869,0.9570547817431716
SERPINE1,4.638866538820939,0.9805382416201883
SERPINF1,4.635329295569759,0.9639194374188175
SFRP1,4.633120135777959,0.9535402829693082
SFRP4,4.605692103466576,0.8246769093634043
SLC7A8,4.6288201664758475,0.9333380116440734
SLIT2,4.633119099517337,0.9535354143721707
SMAD3,4.638180051795818,0.977312963445307
SNAI1,4.638550102068628,0.9790515470234775
SNAI2,4.640689855063868,0.9891046119506156
SOX10,4.639638407098711,0.9841646610849113
SOX2,4.6334493365240625,0.9550869458233889
SOX9,4.635071919864311,0.962710225568993
SPARC,4.639239779788074,0.9822918158338577
TAFAZZIN,4.632886894310856,0.9524444594711275
TAGLN,4.631740273098646,0.9470573622132556
TDO2,4.638094013891493,0.9769087370508147
TFAP2A,4.641525175442025,0.9930291443687298
TGFB1,4.6412881274506885,0.9919154369206951
TGFB1I1,4.634608747825043,0.9605341339389989
TGFBR2,4.636514829211259,0.969489354459622
TOP2A,4.633882448968541,0.9571218103777474
TRPM1,4.631885205870961,0.9477382906070445
TYR,4.634782571731619,0.9613507997049004
VCAM1,4.6079949292312365,0.8354961286749403
VEGFA,4.637559505182882,0.9743974889003304
VEGFC,4.638061116284302,0.9767541763226479
VGF,4.606447712346738,0.828226938338099
WNT5A,4.6118839977356245,0.8537678910081035
YAP1,4.640376836335777,0.9876339760389458
ZEB1,4.631992512994675,0.948242444817479
ZEB2,4.636037887832491,0.9672485712206889
