object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
28140,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_052', 'bc_092', 'bc_093']",2.0,2.0,3.0,3.0,6.0,16.0,5
28279,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",1.0,3.0,5.0,8.0,3.0,20.0,5
28729,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",6.0,7.0,6.0,10.0,12.0,41.0,5
29613,315.0,bc_024-bc_040-bc_092,"['bc_001', 'bc_009', 'bc_024', 'bc_031', 'bc_040', 'bc_048', 'bc_066', 'bc_092', 'bc_093']",0.0,7.0,0.0,10.0,4.0,21.0,3
29715,1987.0,bc_004-bc_009-bc_010-bc_040-bc_041-bc_092,"['bc_004', 'bc_009', 'bc_010', 'bc_040', 'bc_041', 'bc_052', 'bc_066', 'bc_092']",1.0,8.0,3.0,4.0,1.0,17.0,5
30006,2630.0,bc_009-bc_092-bc_093,"['bc_009', 'bc_092', 'bc_093']",0.0,1.0,0.0,6.0,5.0,12.0,3
30026,676.0,bc_016-bc_040-bc_041-bc_076-bc_092,"['bc_009', 'bc_040', 'bc_041', 'bc_052', 'bc_076', 'bc_092', 'bc_093']",2.0,23.0,3.0,27.0,3.0,58.0,5
30047,1945.0,bc_031-bc_087-bc_093,"['bc_087', 'bc_093']",0.0,0.0,2.0,1.0,14.0,17.0,3
30213,132.0,bc_040-bc_092,"['bc_040', 'bc_066', 'bc_092']",1.0,8.0,0.0,4.0,0.0,13.0,3
30256,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2.0,9.0,11.0,8.0,5.0,35.0,5
30288,541.0,bc_006-bc_009-bc_092-bc_093,"['bc_009', 'bc_010', 'bc_040', 'bc_066', 'bc_092', 'bc_093']",0.0,3.0,0.0,5.0,5.0,13.0,3
30446,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",8.0,19.0,14.0,22.0,8.0,71.0,5
30510,1865.0,bc_040-bc_066-bc_087-bc_093,"['bc_010', 'bc_040', 'bc_041', 'bc_066', 'bc_087', 'bc_092', 'bc_093']",2.0,10.0,1.0,3.0,7.0,23.0,5
30556,1642.0,bc_009-bc_040-bc_052-bc_092,"['bc_009', 'bc_040', 'bc_052', 'bc_092']",2.0,4.0,7.0,5.0,0.0,18.0,4
30561,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",7.0,23.0,23.0,30.0,31.0,114.0,5
30575,132.0,bc_040-bc_092,"['bc_040', 'bc_052', 'bc_092', 'bc_094']",2.0,15.0,7.0,14.0,2.0,40.0,5
30762,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3.0,12.0,5.0,8.0,9.0,37.0,5
30807,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",6.0,23.0,25.0,15.0,23.0,92.0,5
30823,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",3.0,16.0,14.0,10.0,20.0,63.0,5
30864,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_006', 'bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",0.0,6.0,6.0,4.0,4.0,20.0,4
30867,132.0,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_052', 'bc_067', 'bc_092']",5.0,12.0,5.0,14.0,0.0,36.0,4
30939,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_010', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_066', 'bc_093']",1.0,5.0,6.0,0.0,5.0,17.0,4
30980,1642.0,bc_009-bc_040-bc_052-bc_092,"['bc_006', 'bc_040', 'bc_048', 'bc_052', 'bc_066', 'bc_092', 'bc_093']",2.0,10.0,25.0,12.0,6.0,55.0,5
31023,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_092']",1.0,6.0,3.0,8.0,2.0,20.0,5
31033,290.0,bc_001-bc_024-bc_052-bc_087,"['bc_001', 'bc_024', 'bc_031', 'bc_040', 'bc_052', 'bc_087']",0.0,4.0,7.0,1.0,2.0,14.0,4
31068,1402.0,bc_010-bc_066,"['bc_010', 'bc_040', 'bc_052', 'bc_066', 'bc_092']",0.0,5.0,4.0,4.0,0.0,13.0,3
31076,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_031', 'bc_040', 'bc_048', 'bc_052', 'bc_066', 'bc_087', 'bc_092', 'bc_093']",2.0,14.0,12.0,12.0,8.0,48.0,5
31084,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",4.0,16.0,13.0,20.0,12.0,65.0,5
31216,541.0,bc_006-bc_009-bc_092-bc_093,"['bc_009', 'bc_092', 'bc_093']",2.0,2.0,1.0,6.0,5.0,16.0,5
31345,1443.0,bc_006-bc_010-bc_066,"['bc_006', 'bc_010', 'bc_031', 'bc_040', 'bc_052', 'bc_066']",0.0,11.0,8.0,1.0,1.0,21.0,4
31407,1689.0,bc_006-bc_010-bc_024-bc_040-bc_052-bc_066-bc_093,"['bc_006', 'bc_010', 'bc_024', 'bc_040', 'bc_052', 'bc_066', 'bc_093']",1.0,5.0,8.0,1.0,9.0,24.0,5
31410,1443.0,bc_006-bc_010-bc_066,"['bc_006', 'bc_010', 'bc_040', 'bc_066', 'bc_085', 'bc_093']",1.0,9.0,2.0,0.0,5.0,17.0,4
31412,132.0,bc_040-bc_092,"['bc_004', 'bc_031', 'bc_040', 'bc_041', 'bc_052', 'bc_087', 'bc_092', 'bc_093']",1.0,30.0,6.0,19.0,6.0,62.0,5
31468,541.0,bc_006-bc_009-bc_092-bc_093,"['bc_006', 'bc_009', 'bc_040', 'bc_052', 'bc_092']",1.0,4.0,5.0,5.0,1.0,16.0,5
31469,132.0,bc_040-bc_092,"['bc_031', 'bc_040', 'bc_052', 'bc_066', 'bc_092']",0.0,15.0,7.0,10.0,0.0,32.0,3
31476,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",8.0,25.0,20.0,8.0,27.0,88.0,5
31515,1220.0,bc_006-bc_040-bc_052-bc_093,"['bc_006', 'bc_010', 'bc_040', 'bc_052', 'bc_093']",0.0,7.0,5.0,1.0,11.0,24.0,4
31517,1689.0,bc_006-bc_010-bc_024-bc_040-bc_052-bc_066-bc_093,"['bc_006', 'bc_010', 'bc_024', 'bc_040', 'bc_052', 'bc_066']",0.0,7.0,5.0,1.0,0.0,13.0,3
31595,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2.0,23.0,9.0,23.0,17.0,74.0,5
