object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
30740,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
30766,211.0,bc_010-bc_066,"['bc_010', 'bc_048', 'bc_066']",0.0,0.0,0.0,1.0,0.0,1.0,1
30767,539.0,bc_010-bc_048-bc_066,"['bc_010', 'bc_031', 'bc_048', 'bc_052', 'bc_060', 'bc_066']",0.0,0.0,3.0,0.0,0.0,3.0,1
30770,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,1.0,0.0,0.0,1.0,1
30800,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_022', 'bc_031', 'bc_041', 'bc_066', 'bc_077', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
30807,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",6.0,23.0,25.0,15.0,23.0,92.0,5
30834,211.0,bc_010-bc_066,"['bc_010', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
30837,360.0,bc_024,"['bc_024', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
30845,1493.0,bc_001-bc_010-bc_029-bc_031-bc_066,"['bc_001', 'bc_010', 'bc_024', 'bc_029', 'bc_031', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
30870,1686.0,bc_009-bc_010-bc_066,"['bc_009', 'bc_010', 'bc_048', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
30883,38.0,bc_010-bc_048-bc_066-bc_087,"['bc_010', 'bc_041', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
30894,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
30915,539.0,bc_010-bc_048-bc_066,"['bc_010', 'bc_066']",0.0,2.0,0.0,0.0,0.0,2.0,1
30929,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
30934,324.0,bc_048-bc_060,"['bc_001', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
30937,404.0,bc_001-bc_024-bc_029-bc_031-bc_087,"['bc_001', 'bc_024', 'bc_029', 'bc_031', 'bc_048', 'bc_060', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
30952,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
30957,681.0,bc_010-bc_024-bc_066,"['bc_010', 'bc_024', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
30963,648.0,bc_009,"['bc_009', 'bc_010', 'bc_022', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
30970,360.0,bc_024,['bc_024'],0.0,1.0,2.0,0.0,2.0,5.0,3
30993,72.0,bc_001-bc_029-bc_031-bc_087,"['bc_029', 'bc_031', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31012,315.0,bc_024-bc_040-bc_092,"['bc_024', 'bc_087']",1.0,2.0,0.0,2.0,0.0,5.0,3
31027,150.0,bc_001-bc_010-bc_031-bc_066,"['bc_001', 'bc_010', 'bc_029', 'bc_031', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31040,38.0,bc_010-bc_048-bc_066-bc_087,"['bc_010', 'bc_024', 'bc_048', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31041,338.0,bc_001-bc_006-bc_029-bc_031-bc_066-bc_087,"['bc_001', 'bc_010', 'bc_031', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31060,1370.0,bc_001-bc_009-bc_024-bc_031-bc_087,"['bc_001', 'bc_009', 'bc_031', 'bc_048', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31062,648.0,bc_009,"['bc_006', 'bc_009', 'bc_010', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31076,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_031', 'bc_040', 'bc_048', 'bc_052', 'bc_066', 'bc_087', 'bc_092', 'bc_093']",2.0,14.0,12.0,12.0,8.0,48.0,5
31078,1330.0,bc_006-bc_010-bc_066-bc_087,"['bc_006', 'bc_048', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
