gene,score,p_val
AKT1,2.0460194642203344,0.00016665277893508876
AXL,1.734750537381477,0.026831097408549286
BGN,2.1127916757504233,0.004249645862844763
BIRC3,1.179303457791093,0.2426464461294892
BIRC5,1.6251636142278547,0.002083159736688609
BMP2,0.7585469399328656,0.9167569369219232
BMP4,1.2075214227554774,0.1694025497875177
CALD1,2.082773651575824,0.00016665277893508876
CAPG,2.53853732341903,8.332638946754438e-05
CCNA2,1.2971052626793873,0.05582868094325473
CCND1,1.6909718115402685,0.002916423631364053
CD36,1.0043315903967673,0.48795933672193986
CDK1,1.1544830436731184,0.16631947337721856
CDKN1A,0.9457530233410637,0.536038663444713
CDKN1B,1.6700002329484849,0.001166569452545621
COL1A1,2.2084710659350724,0.0009999166736105324
COL5A2,1.619622808458267,0.022914757103574702
COL9A3,1.9765315414886941,8.332638946754438e-05
CTNNB1,2.90308184644877,8.332638946754438e-05
DCN,2.59454092372091,0.0019165069577535205
DKK3,1.0216886766045052,0.40438296808599283
EGFR,1.1648320504781309,0.15407049412548954
ERBB3,1.9035927553185392,8.332638946754438e-05
ESPN,2.67253621477182,8.332638946754438e-05
FGF1,1.5860598955959544,0.02099825014582118
FGFR1,2.3896716375609257,0.0002499791684026331
FN1,4.516856884610295,8.332638946754438e-05
FOS,1.7589846602980521,0.00533288892592284
FOSB,1.9151976776762247,0.007332722273143905
FOSL1,1.51566481789276,0.012332305641196566
FOSL2,1.8897571280442425,0.0008332638946754438
FOXF2,1.1532982834790368,0.22106491125739522
GPX8,1.2172442635041862,0.09299225064577951
GTSE1,1.2498415264086034,0.0895758686776102
HIF1A,2.016561816991601,8.332638946754438e-05
HK2,2.129775338450352,8.332638946754438e-05
IFIT2,1.2576899899586782,0.22973085576201982
IRX3,1.4242210522990295,0.014915423714690443
ITGA3,2.859739409596405,8.332638946754438e-05
ITGA5,1.2263035845807884,0.10007499375052079
ITGA6,1.825467800903754,0.0003333055578701775
ITGA8,0.562635058333569,0.99525039580035
ITGAV,1.7242764466197507,0.0005832847262728105
JUN,1.027279611509638,0.3703858011832347
KIT,0.9695531923766837,0.5167069410882427
KLF4,1.6439944115639578,0.0012498958420131656
L1CAM,2.055329689138683,8.332638946754438e-05
LMOD1,0.8791496418233145,0.7387717690192483
LOXL2,1.7142973185268133,0.009249229230897426
MAPK14,1.091684956091616,0.24406299475043747
MEF2C,1.7858445030215848,0.0003333055578701775
MERTK,1.3083104053848855,0.049079243396383636
MET,1.9823832653764737,0.0004166319473377219
MITF,2.0503236446772255,8.332638946754438e-05
MKI67,1.2863024110922787,0.06282809765852845
MLANA,2.151980866562627,8.332638946754438e-05
MMP1,2.432342934591207,0.02249812515623698
MMP11,0.9094688605740292,0.6457795183734689
MYBL2,1.7227424926442052,0.00133322223148071
MYC,1.8465402931769481,0.0004999583368052662
MYLK,0.921677339833108,0.6548620948254312
MYOCD,1.355737153199535,0.05174568785934505
NANOG,1.18894903043682,0.16165319556703608
NCAM1,1.4025952680944187,0.02283143071410716
NFATC2,1.4015343672023877,0.030414132155653695
NFE2L2,1.6274272855380585,0.002499791684026331
NGFR,1.0027669224435614,0.4342138155153737
NOTCH3,0.9465670894631197,0.5621198233480543
NOTCH4,1.032439146931106,0.33905507874343804
NRG1,0.9007097496482597,0.6358636780268311
NT5E,1.9232699849146535,0.005249562536455295
OASL,1.791813860327444,0.018998416798600117
PDGFA,1.8096420792727776,0.002333138905091242
PDGFC,1.7139139696820531,0.0012498958420131656
PDGFRB,1.0231016510759463,0.39580034997083574
PKDCC,1.3270125804790844,0.03599700024997917
PRKCA,1.2951554279105144,0.05324556286976085
PRRX1,1.73228595902586,0.0008332638946754438
RGS2,3.4862977997565205,8.332638946754438e-05
RIGI,1.6503159940028542,0.0843263061411549
ROR1,1.2992965184401848,0.04532955587034414
ROR2,0.8513590430269714,0.7501041579868344
RUNX2,1.2855474110404954,0.049662528122656445
SCG2,1.140199802280051,0.18915090409132573
SERPINE1,1.5524855950014096,0.0672443963003083
SERPINF1,1.8757360629653965,0.007666027831014082
SFRP1,3.1514051824301297,8.332638946754438e-05
SFRP4,0.9851259710837788,0.46962753103908006
SLC7A8,2.1127535934115595,0.0005832847262728105
SLIT2,1.200323419383557,0.12865594533788852
SMAD3,1.6113857985601727,0.002499791684026331
SNAI1,0.9290108724230638,0.6498625114573785
SNAI2,2.8538488335195122,8.332638946754438e-05
SOX10,2.0761035138416295,8.332638946754438e-05
SOX2,1.0355460302652024,0.32180651612365635
SOX9,0.9809135097375088,0.47579368385967835
SPARC,1.7855405067679948,0.001583201399883343
TAFAZZIN,1.1409013274247704,0.1673193900508291
TAGLN,0.9608348201082249,0.6014498791767353
TDO2,0.8468891418417726,0.8110990750770769
TFAP2A,1.6960993256826107,0.0010832430630780768
TGFB1,2.192149080602412,8.332638946754438e-05
TGFB1I1,1.459991106645571,0.009499208399300059
TGFBR2,1.6407743317422947,0.002083159736688609
TOP2A,0.9885639146391947,0.44829597533538873
TRPM1,1.5295041496465567,0.01849845846179485
TYR,2.525063033408444,8.332638946754438e-05
VCAM1,0.8828886751093643,0.6558620114990418
VEGFA,2.810533429852621,8.332638946754438e-05
VEGFC,1.054658928098969,0.32180651612365635
WNT5A,1.1162018323993843,0.1695692025664528
YAP1,1.6571038298994838,0.00133322223148071
ZEB1,1.247857624259621,0.07057745187901009
ZEB2,1.954224746673415,8.332638946754438e-05
