gene,score,p_val
AKT1,1.333837315076301,0.08740938255145404
AXL,2.134345004252072,0.004499625031247396
BGN,0.7241196941666599,0.9151737355220398
BIRC3,0.8691655757291208,0.6624447962669777
BIRC5,0.7002254723136205,0.9415882009832514
BMP2,1.018501167167098,0.4057161903174735
BMP4,1.5687802718458477,0.027581034913757185
CALD1,1.061949944943445,0.33155570369135906
CAPG,2.9023281928033433,8.332638946754438e-05
CCNA2,1.2300310061632753,0.14640446629447545
CCND1,2.038914239492528,0.0019998333472210647
CD36,1.2424407363017536,0.13423881343221397
CDK1,1.3096990311039183,0.09365886176151987
CDKN1A,1.0193264661364347,0.3987167736021998
CDKN1B,2.1368000524306208,0.0010832430630780768
COL1A1,2.3616659359298766,0.0014165486209482543
COL5A2,2.448031997948431,0.0014165486209482543
COL9A3,3.7160933605626454,8.332638946754438e-05
CTNNB1,0.6609015606850984,0.9684192983918006
DCN,0.71491576632247,0.9251729022581452
DKK3,0.9575470784521067,0.5149570869094242
EGFR,1.4086711940464254,0.05891175735355387
ERBB3,3.0232379762871866,8.332638946754438e-05
ESPN,2.131197276045681,0.0019165069577535205
FGF1,1.3828499524658993,0.06599450045829514
FGFR1,1.5863507808031723,0.023414715440379968
FN1,3.452329464019736,8.332638946754438e-05
FOS,1.5885062878313128,0.025664527956003668
FOSB,1.8108965341406198,0.014165486209482544
FOSL1,1.5374318987174638,0.030997416881926507
FOSL2,1.8524140863620158,0.00666611115740355
FOXF2,1.208899140358499,0.16090325806182817
GPX8,1.5803646074311521,0.02308140988250979
GTSE1,0.8989634082371251,0.6396133655528706
HIF1A,1.1505410874218218,0.2161486542788101
HK2,2.0485849698349403,0.0017498541788184318
IFIT2,0.7440261140717832,0.8818431797350221
IRX3,1.1876567616959168,0.17740188317640196
ITGA3,2.959419658879624,8.332638946754438e-05
ITGA5,1.2553388104468144,0.12915590367469376
ITGA6,2.487439931452825,0.0002499791684026331
ITGA8,1.503985461863437,0.03241396550287476
ITGAV,2.683832233174996,8.332638946754438e-05
JUN,1.2107629088059677,0.16156986917756855
KIT,1.2372992802159353,0.13848845929505874
KLF4,1.6276058856542173,0.01891509040913257
L1CAM,2.703554516982809,0.00016665277893508876
LMOD1,1.1309630261977275,0.23873010582451462
LOXL2,1.3357717327000977,0.08557620198316807
MAPK14,1.5150366969356712,0.03366386134488793
MEF2C,2.3322963632588856,0.0004166319473377219
MERTK,1.7487058492022063,0.008249312557286892
MET,0.9374736782171015,0.5494542121489876
MITF,1.345586356554002,0.08140988250979085
MKI67,1.4483509133158126,0.04674610449129239
MLANA,1.321887977651729,0.09249229230897425
MMP1,0.8630227905310043,0.6406966086159487
MMP11,0.9551159235858876,0.5154570452462295
MYBL2,1.802526925083785,0.006582784767936005
MYC,0.7427831133745385,0.8915923673027247
MYLK,1.6093663976464656,0.02249812515623698
MYOCD,1.6328489403163629,0.018415132072327305
NANOG,1.2331240060231545,0.14448795933672193
NCAM1,1.5312103354995912,0.028914257145237897
NFATC2,1.1464648847817949,0.22089825847846012
NFE2L2,2.4176087318965416,0.00016665277893508876
NGFR,2.1036545697821696,0.003583034747104408
NOTCH3,1.0071543538472139,0.4168819265061245
NOTCH4,1.1265070828968018,0.2414798766769436
NRG1,1.0036764756429437,0.42638113490542456
NT5E,2.7721489961830286,0.00016665277893508876
OASL,1.5256135125049268,0.0473293892175652
PDGFA,3.0024560105911027,8.332638946754438e-05
PDGFC,1.5016050771616725,0.037413548870927425
PDGFRB,1.2085477089381464,0.15915340388300975
PKDCC,1.3139507413738196,0.09699191734022165
PRKCA,1.1163876845852854,0.2571452378968419
PRRX1,1.7987113097256093,0.007666027831014082
RGS2,1.6046572059297535,0.024497958503458046
RIGI,1.703078183050554,0.017248562619781686
ROR1,0.9928116846976548,0.4432130655778685
ROR2,1.4724302616069562,0.03683026414465461
RUNX2,1.6506976885674611,0.016165319556703608
SCG2,1.3621856101249736,0.07457711857345221
SERPINE1,1.5600132518237173,0.03166402799766686
SERPINF1,1.0630948373150861,0.3226397800183318
SFRP1,1.0776328067348862,0.3015582034830431
SFRP4,0.6950858453190881,0.9410049162569786
SLC7A8,2.274754007241725,0.0004999583368052662
SLIT2,1.444671420134927,0.05174568785934505
SMAD3,0.9447471334143749,0.5377051912340638
SNAI1,1.0378606714698122,0.3639696691942338
SNAI2,2.219438486170281,0.0012498958420131656
SOX10,3.51524214301518,8.332638946754438e-05
SOX2,1.5430360720927603,0.02458128489292559
SOX9,0.9973486696896109,0.4393800516623615
SPARC,2.4027105642313193,0.0002499791684026331
TAFAZZIN,2.7939350321458516,8.332638946754438e-05
TAGLN,1.410052232413224,0.059411715690359135
TDO2,0.8104521678362258,0.7931839013415549
TFAP2A,1.8888465343093728,0.004916256978585118
TGFB1,3.0619756163251863,8.332638946754438e-05
TGFB1I1,2.3825490698424328,0.0003333055578701775
TGFBR2,2.772811012373852,8.332638946754438e-05
TOP2A,1.6177614098190047,0.020414965419548372
TRPM1,0.9428254781236435,0.5319556703608033
TYR,2.343092779120134,0.0002499791684026331
VCAM1,1.1274498073046701,0.23998000166652778
VEGFA,1.334013322928759,0.08899258395133738
VEGFC,1.2427705364910644,0.1400716606949421
WNT5A,0.88841075802474,0.6492792267311057
YAP1,2.286332840898121,0.0003333055578701775
ZEB1,1.2793853624037526,0.11432380634947088
ZEB2,2.1773613249377335,0.0009165902841429881
