gene,score,p_val
AKT1,5.017325996694044,8.332638946754438e-05
AXL,1.5886566559067903,0.05232897258561787
BGN,1.5657637762397567,0.02649779185067911
BIRC3,1.9326310768968078,0.007749354220481627
BIRC5,5.217123284703522,8.332638946754438e-05
BMP2,1.2335355549009672,0.14957086909424214
BMP4,1.4856738092671238,0.03866344471294059
CALD1,4.248749899918785,8.332638946754438e-05
CAPG,4.665549141433085,8.332638946754438e-05
CCNA2,3.7316715712964705,8.332638946754438e-05
CCND1,4.417487474405997,8.332638946754438e-05
CD36,2.338625564172826,0.0005832847262728105
CDK1,3.877159469478375,8.332638946754438e-05
CDKN1A,1.1690305781618382,0.21231564036330305
CDKN1B,4.114125520741339,8.332638946754438e-05
COL1A1,4.726903947411195,8.332638946754438e-05
COL5A2,4.881667949778472,8.332638946754438e-05
COL9A3,5.356803923746803,8.332638946754438e-05
CTNNB1,5.193244876820252,8.332638946754438e-05
DCN,1.0765347534308067,0.3241396550287476
DKK3,1.3807078605298995,0.06791100741604866
EGFR,1.7439468107692808,0.01008249312557287
ENSMUSG00000071361,0.9644099757602019,0.4824597950170819
ERBB3,4.203013785000543,8.332638946754438e-05
ESPN,6.000167525179772,8.332638946754438e-05
FGF1,1.5644274783915229,0.02858095158736772
FGFR1,1.0986424302705733,0.29305891175735355
FN1,3.3482928281962705,8.332638946754438e-05
FOS,2.630001693715075,0.0004166319473377219
FOSB,3.9588877368584376,8.332638946754438e-05
FOSL1,2.6713421879789867,8.332638946754438e-05
FOSL2,4.743821855109492,8.332638946754438e-05
FOXF2,2.1315930133127963,0.0008332638946754438
GFP,2.2642125326987963,0.0003333055578701775
GPX8,1.556951903259038,0.027747687692692275
GTSE1,4.468215050357101,8.332638946754438e-05
HIF1A,4.894553245875335,8.332638946754438e-05
HK2,4.519984662543923,8.332638946754438e-05
IFIT2,1.0515008381713755,0.328639280059995
IGFBP7,5.960749849007691,8.332638946754438e-05
IRX3,1.667216536908552,0.015582034830430797
ITGA3,3.124568193052599,8.332638946754438e-05
ITGA5,2.1713283025863026,0.0010832430630780768
ITGA6,5.156879864164395,8.332638946754438e-05
ITGA8,0.9341780136290366,0.559620031664028
ITGAV,2.5001778354744295,0.00016665277893508876
JUN,2.905743655663823,0.00016665277893508876
KIT,1.2668734601475706,0.12740604949587533
KLF4,2.7776892643187407,8.332638946754438e-05
L1CAM,2.6828538733101466,8.332638946754438e-05
LMOD1,0.924629901688745,0.574785434547121
LOXL2,5.297234032569472,8.332638946754438e-05
MAPK14,1.9062077464878129,0.0039996666944421295
MEF2C,1.1051518275337526,0.2821431547371052
MERTK,1.7771867126392482,0.007416048662611449
MET,3.132039424691942,8.332638946754438e-05
MITF,6.618669322801629,8.332638946754438e-05
MKI67,3.431989366521867,8.332638946754438e-05
MLANA,4.482201059526759,8.332638946754438e-05
MMP1,1.0759230363775993,0.29180901591534036
MMP11,1.2180251400493816,0.17098575118740106
MT-RNR2,5.033533601054899,8.332638946754438e-05
MYBL2,6.134306168707051,8.332638946754438e-05
MYC,2.6155236005790408,0.0002499791684026331
MYLK,1.762809639022584,0.008165986167819349
MYOCD,1.1798642202121652,0.20081659861678194
NANOG,1.2595996431088592,0.13432213982168154
NCAM1,2.7666481487328918,8.332638946754438e-05
NFATC2,3.639396364698566,8.332638946754438e-05
NFE2L2,3.815229958414473,8.332638946754438e-05
NGFR,1.414479854779455,0.0672443963003083
NOTCH3,1.07873111570654,0.31455712023998
NOTCH4,1.3022763710867054,0.10715773685526206
NRG1,0.793463721016699,0.8066827764352971
NT5E,2.0045523353937678,0.002249812515623698
OASL,1.179027394890199,0.20914923756353637
PDGFA,2.373235444013338,0.001583201399883343
PDGFC,1.3883823065920833,0.07091075743688026
PDGFRB,1.2368245903589077,0.1472377301891509
PKDCC,2.1258387085169868,0.0008332638946754438
PRKCA,1.1463180798591668,0.23214732105657862
PRRX1,3.298073716995714,8.332638946754438e-05
RGS2,4.996557289651439,8.332638946754438e-05
RIGI,1.3319043467430296,0.10765769519206733
ROR1,1.3286119094421267,0.098575118740105
ROR2,1.435816462101978,0.0510790767436047
RUNX2,2.24960664628732,0.0004166319473377219
SCG2,1.7905621130471785,0.005749520873260561
SERPINE1,2.0128909976732046,0.003416381968169319
SERPINF1,1.8821088929334586,0.005166236146987751
SFRP1,1.355188929296847,0.0903258061828181
SFRP4,1.2194126631391762,0.16273643863011417
SLC7A8,3.3060708247803667,8.332638946754438e-05
SLIT2,1.2037438415638297,0.17873510540788268
SMAD3,1.1918227375689499,0.19031747354387135
SNAI1,0.982052897227562,0.4737938505124573
SNAI2,2.164278376689931,0.0004999583368052662
SOX10,3.462046704914282,8.332638946754438e-05
SOX2,1.1859963654849632,0.19431714023831348
SOX9,1.4543615893725979,0.04541288225981168
SPARC,5.613012267118056,8.332638946754438e-05
TAFAZZIN,1.7614894610412757,0.007749354220481627
TAGLN,1.1767416764718552,0.20289975835347054
TDO2,2.6924401876317465,8.332638946754438e-05
TFAP2A,1.8514593230852514,0.004332972252312307
TGFB1,3.9439124840988837,8.332638946754438e-05
TGFB1I1,1.9404945482566336,0.0019998333472210647
TGFBR2,1.1502397449163617,0.22756436963586368
TOP2A,2.685019190680827,0.00016665277893508876
TRPM1,2.2755808831892876,0.0009165902841429881
TYR,3.1830387561255384,8.332638946754438e-05
VCAM1,0.9749038119023576,0.47046079493375553
VEGFA,6.660215415639881,8.332638946754438e-05
VEGFC,1.292984709159078,0.11765686192817265
VGF,1.0891395569747087,0.29697525206232817
WNT5A,1.2055108651394117,0.1716523623031414
YAP1,3.192665449352162,8.332638946754438e-05
ZEB1,1.9367017181709578,0.00266644446296142
ZEB2,2.4933357202749877,8.332638946754438e-05
