gene,score,p_val
AKT1,5.397918103839902,8.402655239055541e-05
AXL,1.3609436988377737,0.10301655323082094
BGN,1.4303233164293445,0.055793630787328796
BIRC3,1.9051030975085967,0.006806150743634989
BIRC5,5.515309228919899,8.402655239055541e-05
BMP2,1.2405202888275233,0.14897907738845476
BMP4,1.4722904918567106,0.04159314343332493
CALD1,4.147756923447624,8.402655239055541e-05
CAPG,5.08583329995374,8.402655239055541e-05
CCNA2,3.722977812142134,8.402655239055541e-05
CCND1,4.147729511445947,8.402655239055541e-05
CD36,1.9480305434244243,0.0019326107049827746
CDK1,3.987853158649453,8.402655239055541e-05
CDKN1A,1.1300001268716415,0.24880262162843458
CDKN1B,4.137242021369363,8.402655239055541e-05
COL1A1,3.8690613969768175,8.402655239055541e-05
COL5A2,4.098331861218177,8.402655239055541e-05
COL9A3,5.0502940668026435,8.402655239055541e-05
CTNNB1,4.924158043082506,8.402655239055541e-05
DCN,1.09215545090543,0.2979581547769095
DKK3,1.42761354219459,0.05554155113015713
EGFR,1.783272355975778,0.00789849592471221
ENSMUSG00000071361,1.0906856732612105,0.2816570036131418
ERBB3,4.175472342352503,8.402655239055541e-05
ESPN,5.545978308343548,8.402655239055541e-05
FGF1,1.4560795386505363,0.049575665910427696
FGFR1,1.1875993052673803,0.1924208049743719
FN1,3.111865961777213,8.402655239055541e-05
FOS,2.3310452636846253,0.00025207965717166626
FOSB,3.266380921686488,8.402655239055541e-05
FOSL1,2.594283837777595,8.402655239055541e-05
FOSL2,4.664780520234882,8.402655239055541e-05
FOXF2,2.035380963110155,0.001596504495420553
GFP,2.052386694464888,0.0012603982858583312
GPX8,1.536896597369495,0.030165532308209394
GTSE1,4.6112198264538335,8.402655239055541e-05
HIF1A,4.936861481322764,8.402655239055541e-05
HK2,4.116893662095278,8.402655239055541e-05
IFIT2,1.1436193219587396,0.22661961179732795
IGFBP7,4.975882924702577,8.402655239055541e-05
IRX3,1.5727935437487228,0.02235106293588774
ITGA3,3.006860911921148,8.402655239055541e-05
ITGA5,2.2280533028746485,0.001428451390639442
ITGA6,4.871929424243697,8.402655239055541e-05
ITGA8,0.9501409906096836,0.5379379884043358
ITGAV,2.4798377929794095,0.00016805310478111083
JUN,2.8734089418015185,0.00016805310478111083
KIT,1.2609251505588128,0.13528274934879422
KLF4,2.854400914420331,8.402655239055541e-05
L1CAM,2.6052917925231687,8.402655239055541e-05
LMOD1,0.9355749703143457,0.563398033778674
LOXL2,4.642744593982766,8.402655239055541e-05
MAPK14,1.9012003252507692,0.003445088648012772
MEF2C,1.058570154749416,0.3469456348206033
MERTK,1.642213422279388,0.015628938744643307
MET,3.2383651554617656,8.402655239055541e-05
MITF,6.5576480395350485,8.402655239055541e-05
MKI67,3.5824718298825378,8.402655239055541e-05
MLANA,4.4273553303185675,8.402655239055541e-05
MMP1,1.4028588721364688,0.09679858835391984
MMP11,1.2148120318689277,0.1728426182673725
MT-RNR2,4.768476621533842,8.402655239055541e-05
MYBL2,6.089842472101331,8.402655239055541e-05
MYC,2.652415728804729,0.00016805310478111083
MYLK,1.810887161171136,0.006470044534072767
MYOCD,1.1539884318233011,0.22603142593059405
NANOG,1.248233861828351,0.1408285018065709
NCAM1,2.7380025002328034,8.402655239055541e-05
NFATC2,3.2722910197323687,8.402655239055541e-05
NFE2L2,3.7800529848436137,8.402655239055541e-05
NGFR,1.434508118191214,0.06478447189311823
NOTCH3,1.009682587270516,0.41988068229560543
NOTCH4,1.4298091369036132,0.055121418368204354
NRG1,0.7886065553959323,0.8189227795983531
NT5E,2.0154470388488703,0.003193008990841106
OASL,1.153513644283914,0.22132593899672295
PDGFA,2.2943324410370254,0.0025207965717166624
PDGFC,1.4021910838304736,0.067473321569616
PDGFRB,1.2260655638862106,0.16158306024703806
PKDCC,2.0807739144971755,0.0011763717334677757
PRKCA,1.1589194872076551,0.21746071758675742
PRRX1,3.4098781143397465,8.402655239055541e-05
RGS2,4.759397448506726,8.402655239055541e-05
RIGI,1.2273582558632938,0.16149903369464752
ROR1,1.3610617165442755,0.08007730442819931
ROR2,1.3936410525856588,0.06360810015965045
RUNX2,2.2308908228092608,0.00033610620956222166
SCG2,1.7990765091766083,0.008402655239055541
SERPINE1,1.6683868219000666,0.01856986807831275
SERPINF1,1.9517828276296136,0.0035291152004033274
SFRP1,1.6079448233371758,0.022435089488278295
SFRP4,1.1915665352851428,0.19032014116460802
SLC7A8,3.6836900422051126,8.402655239055541e-05
SLIT2,1.1490496536442738,0.23628266532224182
SMAD3,1.1939014901898597,0.18897571632635912
SNAI1,1.0141922206103382,0.41845223090496597
SNAI2,2.0803979037942546,0.0012603982858583312
SOX10,3.7835084027268775,8.402655239055541e-05
SOX2,1.1885530670290139,0.1946895218889169
SOX9,1.4316824465778455,0.05117217040584825
SPARC,5.2138002972625515,8.402655239055541e-05
TAFAZZIN,1.8266742185709481,0.00604991177211999
TAGLN,1.1442275368925652,0.23392992185530628
TDO2,2.5859319216637475,0.00033610620956222166
TFAP2A,1.8446302639723564,0.004201327619527771
TGFB1,3.820428966428199,8.402655239055541e-05
TGFB1I1,2.0411910538853903,0.0006722124191244433
TGFBR2,1.1169553539963768,0.26905302075455845
TOP2A,2.544327695948207,0.00033610620956222166
TRPM1,2.2091159018202244,0.001428451390639442
TYR,3.2617266379175427,8.402655239055541e-05
VCAM1,1.0677939498609819,0.3375346609528611
VEGFA,6.181941271957854,8.402655239055541e-05
VEGFC,1.1978122603466919,0.18502646836400302
VGF,1.2029671755938043,0.1781362910679775
WNT5A,1.2098897381756848,0.17166624653390472
YAP1,3.1241434376039727,8.402655239055541e-05
ZEB1,1.867414580150385,0.0049575665910427695
ZEB2,2.5547491974497816,8.402655239055541e-05
